Id,PostTypeId,AcceptedAnswerId,ParentId,CreationDate,DeletionDate,Score,ViewCount,Body,OwnerUserId,OwnerDisplayName,LastEditorUserId,LastEditorDisplayName,LastEditDate,LastActivityDate,Title,Tags,AnswerCount,CommentCount,FavoriteCount,ClosedDate,CommunityOwnedDate
"514120","1","","","2009-02-05 01:06:53","","6","5000","<p>I have a Silverlight menu for my application with an image as the background. I use some empty HyperlinkButton at a specific position and size to simulate a real button on the image (think as a HTML image-map):</p>

<pre><code>&lt;HyperlinkButton x:Name=""Portfolio"" Width=""86"" Height=""40"" Canvas.Top=""50"" NavigateUri=""/portfolio""/&gt;
&lt;HyperlinkButton x:Name=""Analysis"" Width=""79"" Height=""40"" Canvas.Top=""50"" Canvas.Left=""124"" NavigateUri=""/analysis"" BorderThickness=""0""/&gt;
&lt;HyperlinkButton x:Name=""News"" Width=""77"" Height=""40"" Canvas.Top=""50"" Canvas.Left=""240""  NavigateUri=""/news""/&gt;
&lt;HyperlinkButton x:Name=""Questions"" Width=""80"" Height=""40"" Canvas.Top=""50"" Canvas.Left=""357"" NavigateUri=""/questions""/&gt;
&lt;HyperlinkButton x:Name=""Companies"" Width=""80"" Height=""40"" Canvas.Top=""50"" Canvas.Left=""477"" NavigateUri=""/companies""/&gt;
</code></pre>

<p>The problem is when I click these buttons it shows a bluish border corresponding to the hyperlink button area during the click event. There is a way I can avoid showing that?</p>
","18623","Augusto Radtke","709626","","2012-05-12 21:54:47","2012-05-12 21:54:47","How can I avoid the bluish border when clicking a HyperlinkButton in Silverlight?","<silverlight><hyperlink>","3","0","0","",""
"650223","1","","","2009-03-16 12:31:59","","3","5000","<p>I am working on old Motif-based application for Linux. I want to be able to programmatically change the active window of our application. I can redirect the input by using XSetInputFocus() function and the keyboard input start to go there, but XReconfigureWMWindow() and XRaiseWindow() functions just don't work. </p>

<p>I've read that Window Managers try to stop this behaviour, so tried to disable configure redirection, but this doesn't work either. Any ideas how to make one of my own windows on top of the window stack?</p>
","12211","theJonan","300863","theJonan","2010-09-08 07:23:19","2010-09-08 07:23:19","How to change focus in X-Windows?","<linux><x11><motif>","2","1","0","",""
"22429450","1","22429451","","2014-03-15 09:37:21","","4","5000","<p>I have a project on my PC, I want to host it on BitBucket as a Git repo. I've been using SourceTree to manage an existing project with other contributors, so I know the basics about modifying a repository, but I haven't made my own one before.</p>

<p>What I've done so far was make a brand new repo on BitBucket, then I went in SourceTree and made a new one in there. I added a remote called <code>origin</code> using the URL BitBucket gave me, but when I try to push I see this:</p>

<p><img src=""https://i.stack.imgur.com/FWKQ4.png"" alt=""No branch""></p>

<p>Usually I'm supposed to choose which branches to push, but here I don't see any. Apparently I'm on <code>master</code> though, which it shows in the left pane.</p>

<p>Basically, I'm confused. Can anyone explain what's going on or what I'm supposed to be doing?</p>
","732407","puggsoy","","","","2019-10-08 13:03:44","No branches in SourceTree?","<git><branch><repository><push>","3","0","","",""
"629029","1","629070","","2009-03-10 05:32:32","","19","5000","<p>If you have a class with some plain get/set properties, is there any reason to use the getters within the class methods, or should you just use the private member variables?  I think there could be more of an argument over setters (validation logic?), but I'm wondering just about getters.</p>

<p>For example (in Java) - is there any reason to use option 2?:</p>

<pre><code>public class Something
{
    private int messageId;
    public int getMessageId() { return this.messageId; }
    public void setMessage(int messageId) { this.messageId = messageId; }

    public void doSomething()
    {
        // Option 1:
        doSomethingWithMessageId(messageId);

        // Option 2:
        doSomethingWithMessageId(getMessageId());
    }
}
</code></pre>
","60096","Andy White","","","","2009-03-10 07:23:37","Using getters within class methods","<getter>","5","1","5","",""
"404146","1","404372","","2008-12-31 22:15:40","","3","5000","<p>On Windows,
how can my user-mode program get the driver version number(s) for the video card(s) installed?</p>

<p>Programs like ATI's ""Catalyst Control Center"" can display this information to the user or include it automatically into bug reports.  How do they get it?</p>

<p>I've been looking thru the PSDK documentation, and I can't find anything relevant.</p>

<p>Can a user program walk thru the database that Device Manager displays? <br>
Is there an IOCTL call like getting disk drive geometry? <br>
Is it in a (reliable) registry key?</p>
","40756","Die in Sente","14444","moocha","2009-01-05 22:21:49","2010-08-24 06:38:48","How do you get the version of the Windows video driver(s)?","<windows><device-driver>","3","0","","",""
"559600","1","559643","","2009-02-18 02:17:13","","7","5000","<p>JSON allows you to <a href=""http://docs.jquery.com/Ajax/jQuery.get"" rel=""noreferrer"">retrieve data in multiple formats</a> from an AJAX call. For example:</p>

<pre><code>$.get(sourceUrl, data, callBack, 'json');
</code></pre>

<p>could be used to get and parse JSON code from <code>sourceUrl</code>. </p>

<p>JSON is the simply JavaScript code used to describe data. This could be evaled by a JavaScript interpreter to get a data structure back. </p>

<p>It's generally a bad idea to evaluate code from remote sources. I know the JSON spec doesn't specifically allow for function declarations, but there's no reason you couldn't include one in code and have an unsafe and naive consumer compile/execute the code.</p>

<p>How does jQuery handle the parsing? Does it evaluate this code? What safeguards are in place to stop someone from hacking <code>sourceUrl</code> and distributing malicious code?</p>
","2506","Gary Richardson","","","","2009-02-18 14:44:40","Is getting JSON data with jQuery safe?","<javascript><jquery><security>","4","0","4","",""
"154247","1","155390","","2008-09-30 18:07:48","","1","5001","<p>I have written a watir script that downloads files. One of the files it downloads has a .dcf extension. Months ago, on my machine, I changed a setting somewhere so that .dcf files prompt for download (""Do you want to open or save this file?"") instead of opening in the browser. This is the behavior that I desire.  I am using XP Pro/IE7.</p>

<p>I'm now setting up a dedicated test machine, but cannot seem to find the configuration option that I did on my machine - which was so easy to find that I didn't make note of it.  All of the solutions that I am finding now are either about changing the download itself or modifying the registry. I am looking for something from the client perspective at the browser/IE level.</p>
","22421","mandersn","1037","onnodb","2008-09-30 18:39:56","2009-02-04 00:50:23","How do I configure IE7 to download filetype instead of opening in browser","<internet-explorer><download><watir><browser-automation>","3","0","1","",""
"410222","1","410229","","2009-01-04 01:21:44","","8","5001","<p>I know that a lot of examples exist where a SqlConnection is defined and then a SqlCommand is defined, both in Using blocks:</p>

<pre><code>using (var conn = new SqlConnection(connString)) {
      using (var cmd = new SqlCommand()) {
        cmd.Connection = conn;
        //open the connection
      }
}
</code></pre>

<p>My question: If I define the connection directly on the SqlCommand, does the connection close when the command is disposed?</p>

<pre><code>using (var cmd = new SqlCommand()) {
      cmd.Connection = new SqlConnection(connString);
      //open the connection
}
</code></pre>
","10104","Mike","","","","2009-01-04 01:59:09","Does connection close when command is disposed and the connection is defined directly on the command?","<c#><using><using-statement>","4","0","","",""
"255876","1","255880","","2008-11-01 18:04:22","","11","5002","<p>I want to make an MVC route for a list of news, which can be served in several formats.</p>

<ul>
<li>news -> (X)HTML</li>
<li>news.rss -> RSS</li>
<li>news.atom -> ATOM</li>
</ul>

<p>Is it possible to do this (the more general ""optional extension"" situation crops up in several places in my planned design) with one route? Or do I need to make two routes like this:</p>

<pre><code>routes.MapRoute(""News-ImplicitFormat"",
                ""news"",
                new { controller = ""News"", action = ""Browse"", format = """" });

routes.MapRoute(""News-ExplicitFormat"",
                ""news.{format}""
                new { controller = ""News"", action = ""Browse"" });
</code></pre>

<p>It seems like it would be useful to have the routing system support something like:</p>

<pre><code>routes.MapRoute(""News"",
                ""news(.{format})?"",
                new { controller = ""News"", action = ""Browse"" });
</code></pre>
","11173","Doug McClean","","","","2008-11-03 21:54:11","ASP.NET MVC Routes with ""File Extensions""","<asp.net-mvc>","2","0","8","",""
"329891","1","329947","","2008-12-01 02:49:12","","7","5002","<p>Should the model just be data structures?  Where do the services (data access, business logic) sit in MVC?</p>

<p>Lets assume I have a view that shows a list of customer orders.  I have a controller class that handles the clicks on the view controls (buttons, etc).</p>

<p>Should the controller kick off the data access code? Think button click, reload order query. Or should this go through the model layer at all?</p>

<p>Any example code would be great!</p>
","4653","ak","13103","Jason Jackson","2008-12-01 03:36:47","2008-12-09 09:25:33","MVC: View and Model Interaction Regarding Data Access, etc","<c#><model-view-controller>","4","1","5","",""
